"pathway"	"overlap_size"	"pathway_size"	"p.value"	"EID"	"massfeature_rows"	"adduct"	"compound_id"	"compound_annotation"	"m.z"	"retention_time"	"p_value"	"statistic"
"Valine, leucine and isoleucine degradation"	"6"	"10"	"0.0291846287006"	"E798"	"row65"	"M-H[-]"	"C00407;C00123"	"L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine"	130.0873899	24.99115094	0.00029926	6.0699
"Pentose phosphate pathway"	"5"	"8"	"0.0361593600054"	"E62"	"row308"	"M-H[-]"	"C00092;C02965;C05345;C00085;C00103;C02976;C01171;C01172;C03735;C00636;C01177;C03862;C04006;C01097;C01094;C00668;C03546;C00446;C00275;CE3075"	"D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester$D-Hexose 6-phosphate$beta-D-Fructose 6-phosphate$D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester$D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate$Fructose 1-phosphate$alpha-D-Hexose 1-phosphate$beta-D-Glucose 6-phosphate$alpha-D-Hexose 6-phosphate$D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate$Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate$Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate$1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate$D-Tagatose 6-phosphate$D-Fructose 1-phosphate$alpha-D-Glucose 6-phosphate$myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate$alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate$D-Mannose 6-phosphate$sorbitol 3-phosphate"	259.0223428	28.64828471	0.014088	3.1266
"Pentose phosphate pathway"	"5"	"8"	"0.0361593600054"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Pentose phosphate pathway"	"5"	"8"	"0.0361593600054"	"E63"	"row114"	"M-H[-]"	"C12214;C00352;C06377"	"Aminofructose 6-phosphate; Amino-D-fructose 6-phosphate$D-Glucosamine 6-phosphate; D-Glucosamine phosphate$D-Galactosamine 6-phosphate"	258.0383574	21.5533187	0.0012147	4.8862
"Pentose phosphate pathway"	"5"	"8"	"0.0361593600054"	"E465"	"row2957"	"M+Cl[-]"	"C01801;CE0520"	"Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose$(R)-glycerol 1-acetate"	169.0253514	20.14873555	0.9987	0.0016772
"Pentose phosphate pathway"	"5"	"8"	"0.0361593600054"	"E465"	"row500"	"M-H[-]"	"C01801;CE0520"	"Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose$(R)-glycerol 1-acetate"	133.0506867	19.88892458	0.03498	-2.535
"Pentose phosphate pathway"	"5"	"8"	"0.0361593600054"	"E934"	"row36"	"M-H[-]"	"C16360;C00257;C16356;C00800"	"$D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid$1,7-Dimethyluric acid$L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid"	195.0510164	26.5452708	6.13e-05	7.6308
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E245"	"row58"	"M(C13)-H[-]"	"C06427;C06426"	"(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid"	278.2207052	225.4132152	0.00019374	6.472
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E245"	"row87"	"M-H[-]"	"C06427;C06426"	"(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid"	277.217386	224.8547356	0.00070468	5.3275
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E456"	"row120"	"M-H[-]"	"C01712"	"(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure"	281.2486636	254.9957039	0.0013499	4.8033
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E456"	"row66"	"M+HCOO[-]"	"C01712"	"(9E)-Octadecenoic acid; 9-Octadecenoic acid, (E)-; (E)-Oleic acid; D9-trans-Octadecenoic acid; 9-trans-Octadecenoic acid; trans-D9-Octadecenoic acid; trans-9-Octadecenoic acid; trans-Elaidic acid; trans-Oleic acid; Elaidic acid; Acide elaidique; Elaidinsaure"	327.2539945	256.1035453	0.000308	6.0439
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E1064"	"row2213"	"M+HCOO[-]"	"C03242"	"(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate"	351.2540051	241.0514996	0.57169	-0.58967
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E1064"	"row569"	"M(C13)-H[-]"	"C03242"	"(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate"	306.2520229	243.2773781	0.048263	2.3287
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E1064"	"row649"	"M-H[-]"	"C03242"	"(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate"	305.2487651	241.3149927	0.066611	2.1221
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E49"	"row2513"	"M+CH3COO[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	339.2538162	237.4939998	0.74444	-0.33748
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E49"	"row68"	"M+HCOO[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	325.2383039	239.1470638	0.0003292	5.984
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E49"	"row72"	"M-H[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	279.2330236	241.4667126	0.00041523	5.7785
"Fatty acid activation"	"5"	"8"	"0.0361593600054"	"E49"	"row99"	"M(C13)-H[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	280.2363594	235.4728329	0.00097156	5.0645
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E513"	"row541"	"M-H[-]"	"C00248"	"Lipoamide; Thioctic acid amide"	204.053962	26.27720104	0.043445	-2.396
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E467"	"row22"	"M-H[-]"	"C00956"	"L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate"	160.0615594	22.76402321	1.1e-05	9.6614
"Lysine metabolism"	"5"	"8"	"0.0361593600054"	"E467"	"row312"	"M(C13)-H[-]"	"C00956"	"L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate"	161.0648833	20.67902289	0.014268	3.1182
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E401"	"row18"	"M-H[-]"	"C00819;C00064;C05100"	"D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate"	145.0619385	40.61093146	5.38e-06	10.626
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E320"	"row2288"	"M+HCOO[-]"	"C00122"	"Fumarate; Fumaric acid; trans-Butenedioic acid"	161.0091926	24.7036987	0.61063	0.5298
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E320"	"row98"	"M-H[-]"	"C00122"	"Fumarate; Fumaric acid; trans-Butenedioic acid"	115.0036865	27.55923006	0.00092107	5.1077
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E1093"	"row175"	"M-H[-]"	"C00792;C00062"	"D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Arginine; (S)-2-Amino-5-guanidinovaleric acid"	173.1044549	30.79739158	0.0038514	4.0181
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Alanine and Aspartate Metabolism"	"7"	"13"	"0.0390837051789"	"E685"	"row107"	"M-H[-]"	"C05520;C01045;C01042"	"2-Amino-3-oxoadipate; 2-Amino-3-oxohexanedioic acid$N-Formyl-L-glutamate$N-Acetyl-L-aspartate"	174.0407701	26.89104664	0.0010659	4.9901
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E57"	"row259"	"M-H[-]"	"C00431;C00719;C00183"	"5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$L-Valine; 2-Amino-3-methylbutyric acid"	116.0717588	24.74190798	0.0083864	-3.4746
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Butanoate metabolism"	"4"	"6"	"0.0430500584029"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Caffeine metabolism"	"3"	"4"	"0.0494533659381"	"E641"	"row264"	"M-H[-]"	"C16365"	"5-Acetylamino-6-formylamino-3-methyluracil; AFMU"	225.0617401	33.37854376	0.0087745	3.4438
"Caffeine metabolism"	"3"	"4"	"0.0494533659381"	"E567"	"row21"	"M-H2O-H[-]"	"C05411;C16353"	"$"	147.0299802	23.50251018	1.09e-05	9.6664
"Caffeine metabolism"	"3"	"4"	"0.0494533659381"	"E934"	"row36"	"M-H[-]"	"C16360;C00257;C16356;C00800"	"$D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid$1,7-Dimethyluric acid$L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid"	195.0510164	26.5452708	6.13e-05	7.6308
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E863"	"row77"	"M-H[-]"	"C04281;C04282;C02238;C01879"	"L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid"	128.0353529	23.20356828	0.00055748	5.5244
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E401"	"row18"	"M-H[-]"	"C00819;C00064;C05100"	"D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate"	145.0619385	40.61093146	5.38e-06	10.626
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E100"	"row11"	"M-H2O-H[-]"	"C02266;C01087;C02630;C03196"	"$(R)-2-Hydroxyglutarate$2-Hydroxyglutarate$(S)-2-Hydroxyglutarate"	129.0193948	38.22129266	1.28e-06	12.838
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E899"	"row21"	"M-H[-]"	"C02266;C01087;C02630;C03196"	"$(R)-2-Hydroxyglutarate$2-Hydroxyglutarate$(S)-2-Hydroxyglutarate"	147.0299802	23.50251018	1.09e-05	9.6664
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E1093"	"row175"	"M-H[-]"	"C00792;C00062"	"D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Arginine; (S)-2-Amino-5-guanidinovaleric acid"	173.1044549	30.79739158	0.0038514	4.0181
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E1141"	"row2"	"M-H2O-H[-]"	"CE1059"	""	211.1704466	184.7703157	1.49e-07	16.951
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E817"	"row1176"	"M+Cl37[-]"	"C00430;C03440;C03341;C01165;C01157;C01110"	"5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate"	168.0244338	25.10497941	0.20299	-1.3865
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E817"	"row121"	"M-H+O[-]"	"C00430;C03440;C03341;C01165;C01157;C01110"	"5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate"	146.0459596	24.31365546	0.0013885	4.7812
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E817"	"row1233"	"M-H[-]"	"C00430;C03440;C03341;C01165;C01157;C01110"	"5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate"	130.0509926	21.49480984	0.22021	1.3299
"Aspartate and asparagine metabolism"	"10"	"22"	"0.0557054142402"	"E817"	"row160"	"M+Na-2H[-]"	"C00430;C03440;C03341;C01165;C01157;C01110"	"5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate"	151.026235	25.24142561	0.0030784	4.1803
