pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	1	3	0.173120862924	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Heparan sulfate degradation	1	3	0.173120862924	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
Polyunsaturated fatty acid biosynthesis	1	3	0.173120862924	E285	vacccoa/C03035/CE2244/odecoa/C16162/od2coa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA
N-Glycan Degradation	1	3	0.173120862924	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
Nucleotide Sugar Metabolism	1	3	0.173120862924	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Vitamin B9 (folate) metabolism	2	9	0.180305730836	E107,E380	C00217/C05938/C00025,C00065/C00740	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine
Fatty acid activation	2	9	0.180305730836	E285,E27	vacccoa/C03035/CE2244/odecoa/C16162/od2coa,hpdcacoa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA$heptadecanoyl coa
Xenobiotics metabolism	3	16	0.195764541374	E553,E788,E232	,C00051,	$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$
Galactose metabolism	2	12	0.248328362749	E484,E118	C00645/C01074/C00140/C01132,C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose$D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Butanoate metabolism	2	12	0.248328362749	E107,E557	C00217/C05938/C00025,C00431/C00183/C00719	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid/L-Valine; 2-Amino-3-methylbutyric acid/Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
Beta-Alanine metabolism	2	12	0.248328362749	E107,E185	C00217/C05938/C00025,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$
Alkaloid biosynthesis II	1	5	0.248639286858	E76		
Omega-6 fatty acid metabolism	1	5	0.248639286858	E285	vacccoa/C03035/CE2244/odecoa/C16162/od2coa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA
Carbon fixation	1	5	0.248639286858	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Histidine metabolism	3	19	0.248676261617	E107,E185,E788	C00217/C05938/C00025,,C00051	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Arachidonic acid metabolism	2	13	0.267940110975	E107,E788	C00217/C05938/C00025,C00051	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Saturated fatty acids beta-oxidation	1	6	0.275175399012	E798		
Starch and Sucrose Metabolism	1	6	0.275175399012	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Ubiquinone Biosynthesis	1	6	0.275175399012	E448	C05838/C00166/C02763/C00811	cis-2-Hydroxycinnamate; 2-Coumarinate/Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate/enol-Phenylpyruvate; enol-Phenylpyruvic acid; enol-alpha-Ketohydrocinnamic acid; 2-Hydroxy-3-phenylpropenoate/4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate
Purine metabolism	4	29	0.285429171908	E107,E311,E424,E759	C00217/C05938/C00025,,C00819/C00064/C05100,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$
Glycosphingolipid biosynthesis - globoseries	1	7	0.29693000258	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
Drug metabolism - cytochrome P450	1	7	0.29693000258	E833		
Tryptophan metabolism	4	31	0.304609828059	E107,E502,E788,E116	C00217/C05938/C00025,,C00051,C00078/C00525	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid/D-Tryptophan
Leukotriene metabolism	2	16	0.307777052288	E808,E788	,C00051	$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Glycosphingolipid biosynthesis - ganglioseries	1	8	0.310996377314	E484	C00645/C01074/C00140/C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc/N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
De novo fatty acid biosynthesis	1	8	0.310996377314	E285	vacccoa/C03035/CE2244/odecoa/C16162/od2coa	vaccenyl coenzyme A/gamma-Linolenoyl-CoA/trans-octadec-2-enoyl-CoA/Octadecenoyl-CoA (n-C18:1CoA)/(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA/trans-Octadec-2-enoyl-CoA
Fatty Acid Metabolism	1	8	0.310996377314	E798		
Fructose and mannose metabolism	1	8	0.310996377314	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Phosphatidylinositol phosphate metabolism	1	8	0.310996377314	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Selenoamino acid metabolism	1	8	0.310996377314	E380	C00065/C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine/D-Serine
Vitamin B3 (nicotinate and nicotinamide) metabolism	2	17	0.316935868121	E107,E424	C00217/C05938/C00025,C00819/C00064/C05100	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate
Pyrimidine metabolism	5	41	0.319693008661	E107,E362,E424,E118,E852	C00217/C05938/C00025,C02642/C00152,C00819/C00064/C05100,C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine/L-Asparagine; 2-Aminosuccinamic acid$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate$
Androgen and estrogen biosynthesis and metabolism	1	9	0.32110309151	E788	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Glycolysis and Gluconeogenesis	1	10	0.327899724454	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Ascorbate (Vitamin C) and Aldarate Metabolism	1	10	0.327899724454	E788	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Prostaglandin formation from arachidonate	1	10	0.327899724454	E788	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
N-Glycan biosynthesis	1	12	0.334963584064	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
